Key	Content	Handle
LXDGM_FinesseMovementBonus_Description	Default : 20<br><font color=#ff0000>Require a game restart</font>	hd5148365gb1f7g4f21g9521gd50d897e5e4a
LXDGM_FixConstitutionGap	Fix Vitality Gap	hf69fc03eg0a46g4ed6g80e4ga325a7ffe659
LXDGM_FixConstitutionGap_Description	Use this if you enabled Vanilla Plus on a running save and you witness most characters and items lack some Vitality.	hbe73e4f8g0448g4a54gaa87g3905ebfeb604
LXDGM_FixConstitutionGap_Message	Warning ! Use it only if you enabled Vanilla Plus in a running save and witness everything lacking Vitality. The fix might be somewhat inaccurate and can potentially break encounters. Proceed ?	hbf283d5cgda64g4436g886cg3452c10aa414
LXDGM_FlatScaling_Message1	Warning ! Changing the vitality scaling will break the vitality of the characters on the current map (in story mode) or on all scenes (in GM mode). It is highly recommended that you enable this option during the character creation before starting the game, or if you are in GM mode before creating your scenes. Proceed ?	h69b87598gf85eg4c63g9533ga0aa699de1ce
LXDGM_FlatScaling_Message2	Warning ! Deactivating the linear scaling will break characters vitalities again. If you do it in story mode, it is recommended to do it just before transitioning to a new act. Proceed ?	he187433cg29c8g44dag8924gdd2345937ed0
LXDGM_FlatScalingActivate	Enable Linear Vitality Scaling	hda7d12b4gfd73g46dag981bg3bcc5d9e8ad1
LXDGM_FlatScalingActivate_Description	Change the vitality scaling to be linear instead of exponential. The difference of Vitality, Armours and Damage between levels are much lower, avoiding weapons fast obsolescence and making inter-levels combats more fair. <br>Default : off<br><font color=#ff0000>Require a map reload. It is highly recommended to activate this option before starting a new game (during character creation), and deactivating it mid-playthrough will break all NPCs vitality.</font>	hab342575gecacg4c17ga4dcg4d2c771f2a24
LXDGM_FlatScalingDeactivate	Disable Linear Vitality Scaling	h1cf47358gd399g486fg9401g6a12b06eb879
LXDGM_FlatScalingDeactivate_Description	Switch back to the exponential scaling. Break vitalities of characters on the current map (story mode), or on all scenes (GM mode).	hdbadc53agb463g47c8gb396gff76b7cc0164
LXDGM_IntelligenceAccuracyBonus	Intelligence Accuracy Bonus	hd4f241b4gb997g41efga6c0gb5d38e0ad0b0
LXDGM_IntelligenceAccuracyBonus_Description	Default : 2<br><font color=#ff0000>Require a game restart</font>	ha4a2351eg24cdg4f68g8ef6gb7ee91c0c08e
LXDGM_IntelligenceGlobalDamageBonus	Int. Global Damage Bonus	hf7f34763g19feg4018gb6f6g4cc298dc512d
LXDGM_IntelligenceGlobalDamageBonus_Description	Default : 2	h5340847eg5242g4a5bgb0dcg581a25c167ce
LXDGM_IntelligenceSpecialDamageBonus	Intelligence Skill Damage Bonus	hfd01dd86gb216g473fg86a3gb6eddafc79db
LXDGM_IntelligenceSpecialDamageBonus_Description	Default : 3	h4b32fa34gdce0g4683g93aagf3c802c319d7
LXDGM_ModuleCorrogicDisable	Corrogic	hebc78e7bg3775g4da6gbe21g054b280f11ce
LXDGM_ModuleCorrogicDisable_Description	If Corrosive or Magic damage is dealt while the corresponding armour is depleted, they will strip resistances for 2 turns. Can be stacked, the resistance loss is proportional to the damage dealt and the max vitality of the target. Can be removed with Fortified or Magic Shell. <br>Default : on<br>	hb78e3fa5gfa77g4a00g9228g62b93db293e9
LXDGM_ModuleDivineTalentsDisable	Divine Talents Plus	h2512e452g4bdcg4631g9f32g67f9b6e5fc99
LXDGM_ModuleDivineTalentsDisable_Description	Enable talents from Gift Bag 4, with effects slightly adapted to Vanilla Plus gameplay. <br>Default : on<br><font color=#ff0000>Require a game restart</font>	h0045f23fgb529g49d5gb9f5gab8c0a6a4b17
LXDGM_ModuleDualCC	Dual CC Resistance	he53d3385g125cg49ddgaacegce01ebea865f
LXDGM_ModuleDualCC_Description	When recovering from a hard crowd control effect, both Momentum and Lingering will always be triggered together whatever the crowd control effect it was. <br>Default : off<br>	h51631525ga7c5g4ff3gbf10ga04307fcdf7e
LXDGM_ModuleFallDamageAlternate	Activate Jump fall damage	h2e8803d0g3b27g470dgb836g26fcbeb60714
LXDGM_ModuleFallDamageAlternate_Description	Activate fall damage when character use Jump skills or Projectile skills moving the character. Damage is not applied for Fly.	h584b8016g05e3g4c00gbaccg0c441bf1c3f5
LXDGM_ModuleFallDamageClassic	Activate Force fall damage	hfe32bba9g038fg4541g921cge1be27275d5f
LXDGM_ModuleFallDamageClassic_Description	Activate fall damage when characters are victim of the Force property of some skills.<br>Scoundrel reduce the height tolerance for each point. Damage is not applied if the victim has Wings.	h863fc18ag2674g47e8g9657ge6fb4a5b074f
LXDGM_ModuleLegacyDodge	Dodge Fatigue	heb12b418g92ccg4bbeg9837gdab77683435b
LXDGM_ModuleLegacyDodge_Description	Enable the old dodge system, triggering Dodge Fatigue instead of Warmup on dodges.<br>Default : off	h7b6b2d7eg13f2g4a8cg9691g811c39d97536
LXDGM_ModuleOriginalChameleonCloak	Classic Chameleon Cloak	ha0a64a63g9fd2g40edg98b0g421c3099523d
LXDGM_ModuleOriginalChameleonCloak_Description	Revert Chameleon Cloak ability requirements to Polymorph 1 only.<br>Default : off<br><font color=#ff0000>Require a game restart</font>	ha6f17eacgbfdbg4cc2g9734g87d7801fe648
LXDGM_ModuleOriginalTeleport	Classic Teleport	h9ec453a6g6fb1g4f78g9e28g7c1b6495567e
LXDGM_ModuleOriginalTeleport_Description	Revert Teleport and Nether Swap targetting to unconditional. <br>Default : off<br><font color=#ff0000>Require a game restart</font>	hb96acab6g6db2g425fg8e7fg947dc56be642
LXDGM_ModuleRealJump	Real Jump	h5e0c2cf9g042ag4803gb01bg6128e1246fc9
LXDGM_ModuleRealJump_Description	This module transforms Cloak and Dagger, Phoenix Dive and Tactical Retreat as projectile equivalents (like Fly with Spread your wings). It applies to everyone. If some NPC still have the classic version, deactivate and reactivate this module.	he573ce38g6445g4975g8562ge97ea0a52c79
LXDGM_NPCStatsCorrectionCampaignDisable	Activate stats correction	h0bd1a48dg8f40g44b7g9229g826720785117
LXDGM_NPCStatsCorrectionCampaignDisable_Description	Activate the stats correction formula. Strongly recommended when playing Story mode or any Adventure mod that has not been balanced for Vanilla Plus.<br>Default : on<br><font color=#ff0000>Require a game restart</font>	h1b361ce1gd5d3g4c0eg8b8cg7d87658e755f
LXDGM_NPCStatsCorrectionGM	Activate for GM mode	hc13ac1f2ge15eg4791ga4bcgca5508715345
LXDGM_NPCStatsCorrectionGM_Description	Activate the stats correction formula for GM mode. This is up to your preferences, but if you already created and balanced encounters, you might need to rebalance them.<br>Default : off<br><font color=#ff0000>Require a game restart</font>	h552b479bg3e56g4ea1gb01fg96d986de5e5f
LXDGM_NPCStatsMainCorrection	Main Attribute Correction	h2802446bg3159g4290g9154g8cac4a93eaf1
LXDGM_NPCStatsMainCorrection_Description	The correction indice for the highest damaging attribute for NPCs. The higher it is, the lower will be the final result.<br>Default : 50<br><font color=#ff0000>Require a game restart</font>	hc82cf98agdf5dg41d5gac1bg325ac645fb79
LXDGM_NPCStatsNoArchetypeCorrection	General Attribute Correction	h4e021a63g8d27g4cf2g865agf52e17ae50c2
LXDGM_NPCStatsNoArchetypeCorrection_Description	The correction indice for damaging attribute if there is a tie between two or all three damaging attributes for NPCs. The higher it is, the lower will be the final result.<br>Default : 60<br><font color=#ff0000>Require a game restart</font>	h6d219e8ag59abg4adegbf53g2f73649ee312
LXDGM_NPCStatsSecondaryCorrection	Secondary Attribute Correction	hb5c81b75ga23dg44aeg8ceeg6c88bf367e38
LXDGM_NPCStatsSecondaryCorrection_Description	The correction indice for the damaging attributes that are not the highest for NPCs. The higher it is, the lower will be the final result.<br>Default: 70<br><font color=#ff0000>Require a game restart</font>	he9b44d3fg577fg4d9bgab26g3a6b1910b1f7
LXDGM_PerseveranceResistance	Pers. Resistance Bonus	h8b1768fbgf8edg4ce6gab9dg617267af4852
LXDGM_PerseveranceResistance_Description	Perseverance Resistance Bonus per point.<br>Default : 5<br>	h730eb29cgf6a6g4efcg8625g1b7d95925932
LXDGM_PerseveranceVitality	Perseverance Vitality Restoration	h74f2f4d1gb916g4bccgb635g264d3444d84b
LXDGM_PerseveranceVitality_Description	Set the percentage of vitality restored when Perseverance proc.<br>Default : 2	h494e1e4egf5b8g4d00gb816g61bbd41a0dee
LXDGM_PlayerVitalityMultiplier	Player Vitality Multiplier	hffe960e0g8d88g4c63gb285g507247c47d43
LXDGM_PlayerVitalityMultiplier_Description	Multiply the base vitality of the player characters and summons. <br>Default : 100 <br><font color=#ff0000>Require a game restart</font>	hc13534c0gc9e9g453dgab9bg194a3f41689b
LXDGM_PotionFatigue	Potion Dizziness	h49481882g278cg4223gb275g7758a42e9051
LXDGM_PotionFatigue_Description	The number of potions you need to drink in the same turn before receiving a warning of dizziness. Set to 0 to immediatly get a penalty after the first potion, and -1 to make potions usage brutally punishing. Default : 1.	ha6375589ga989g4860g8d73g58af60e32ce9
LXDGM_SettingsUseDefaultAttributeValues	Use recommended attribute values	h5c90bf4dg4c11g4bb3gaf93g2caf0bb5c4c0
LXDGM_SettingsUseDefaultAttributeValues_Description	If deactivated, you will be able to use custom attributes bonuses. Not recommended if you want to keep an overall balanced experience unless you really know what you are doing.<br>Default : on	hae29de3agcf14g44f7g9020g90e1fd77694d
LXDGM_StaffSkillMult	Staff Skill Damage Multiplier	h3d6fb0f8g0419g4ed0g8f4eg5ecdedbedbad
LXDGM_StaffSkillMult_Description	Set the skill damage multiplier percentage when a staff is equipped.<br>Default : 10	h0b24b325g8818g4552g97ebgcb6a2481f573
LXDGM_StrengthGlobalDamageBonus	Strength Global Damage Bonus	h753b1b3fgdfdfg428fg90e0g9e631beb1f06
LXDGM_StrengthGlobalDamageBonus_Description	Default : 2	h36683e27ge1cag45f9gb7ddgdf954e865e33
LXDGM_StrengthResistanceIgnore	Str. Resistance Bypass Multiplier	h75422cb0g14ccg4731g89a7gae632f7669a8
LXDGM_StrengthResistanceIgnore_Description	Default : 0.15	h4a738dd3gf483g4913gbc27g5e8eeff26c2b
LXDGM_StrengthSpecialDamageBonus	Strength Weapon Damage Bonus	h285f26a1g0683g4a86gae3eg0c69934433b8
LXDGM_StrengthSpecialDamageBonus_Description	Default : 3	h562bb140gab7bg4f78gba75g5aaf2cd7f27b
LXDGM_SummonsDamageBoost	Summons Damage Boost	hd15c8d51gb26bg460cgaa29g8f2cc4f96877
LXDGM_SummonsDamageBoost_Description	Multiply all damages of summons (ally and enemy). <br> Default: +0% <br><font color=#ff0000>Require a game restart</font>	hed14cc79g467bg4d3fgbed6gec529691740e
LXDGM_SummonsVitalityMultiplier	Summons Vitality Multiplier	hd573aa44gad41g4232g8040gf59652415d1d
LXDGM_SummonsVitalityMultiplier_Description	Multiply the base Vitality of all summons (ally and enemy). <br>Default : 100 <br><font color=#ff0000>Require a game restart</font>	h88ed61e9g4d7fg4eb7g81f1g9e7c48dde602
LXDGM_WandSkillMult	Wand Skill Damage Multiplier	h711b52a9ga71ag458cg82c4gdca0433f24b2
LXDGM_WandSkillMult_Description	Set the skill damage multplier pencetage when a wand is equipped (can be doubled when dual-wielding).<br>Default : 5	h6d523ea5g116eg4380g816fg72079d80f321
LXDGM_WandSurfaceMult	Wands Surface Bonus	h1c81462eg26ceg48a1g8828gdf9254cbdae0
LXDGM_WandSurfaceMult_Description	Bonus damage (%) from surface AND cloud the character stands in.<br>Default : 20	h7583bee1g949cg433dg8b2ag94d9a47bef82
LXDGM_WitsDotBonus	Wits Damage Over Time Bonus	h5cb3da10g4cddg44eegbefeg72ffb21118ee
LXDGM_WitsDotBonus_Description	Default : 10	ha1578450g666bg4b87g8377g1c389879435f
LXGDM_CQBPenalty_Description	Set the percentage of damage penalty when using a ranged weapon on a target within the CQB range limit.<br>Default : 35	hf859c7e8g7e30g48e3ga24aga943a18f0c5c
WpnCrossbow	Reduce Movement by [1]m	h846daabdg90beg4ac9gb930g02e96dcdbd8d
